"","institution_code","catalog_number","basis_of_record","cur_genus","cur_epithet","cur_scientific_name","recorded_by","record_number","year","month","day","decade","cur_host","host_family","cultivated","native_status","cultivated_native","continent","country","state_province","decimal_latitude","decimal_longitude","geodetic_datum","coordinate_uncertainty_in_meters","climatic_zone"
"6296","ISC","ISC-F-0082238","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","D V Layton","s.n.",1928,9,2,1920,"Vitis labrusca","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Iowa",41.381969,-91.349879,NA,1039,NA
"6297","BPI","BPI 785546","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E Bartholomew",NA,1898,6,13,1890,"Vitis riparia","Vitaceae","wild","native","wild-native","North America","United States of America","Kansas",39.35023,-99.325054,NA,41169,NA
"6298","BPI","BPI 785610","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E Bartholomew","s.n.",1906,6,6,1900,"Vitis vulpina","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Kansas",39.4376473,-99.2673611,"WGS84",2519.55555555556,NA
"6299","BPI","BPI 785449","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E Bartholomew","s.n.",1913,10,9,1910,"Vitis cinerea","Vitaceae","wild","native","wild-native","North America","United States of America","Louisiana",32.5008284285714,-93.7687185714286,"WGS84",17482.4285714286,NA
"6300","MIN","927663","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E C Swann","ECS689",1994,7,24,1990,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Minnesota",44.977558,-93.146738,"WGS84",977,NA
"6301","ILLS",NA,"PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E D Hirschy",NA,1926,7,16,1920,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Illinois",41.245593,-89.92483,"WGS84",4318,NA
"6302","CUP","CUP-A-000807","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E Durand",NA,1895,7,31,1890,"Vitis riparia","Vitaceae","wild","native","wild-native","North America","United States of America","New York",42.483182,-76.50622,NA,3509,NA
"6303","CUP","CUP-H-01165","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E E Honey","s.n.",1920,8,5,1920,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Maryland",39.641763,-77.719993,"WGS84",5798,NA
"6304","CUP","CUP-H-01541","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E E Honey","s.n.",1923,8,19,1920,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","New York",42.454383,-76.499662,"WGS84",210,NA
"6305","MSC","MSC0218418","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E M Fischer","899",1890,7,18,1890,"Vitis cinerea","Vitaceae","wild","native","wild-native","North America","United States of America","Indiana",39.521994,-85.985262,"WGS84",3036,NA
"6306","CUP","CUP-S-1545","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E M Fischer","899",1890,7,18,1890,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Indiana",39.525889,-85.9780065,"WGS84",3036,NA
"6307","BPI","BPI 785108","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E M Fischer","900",1890,7,26,1890,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Indiana",39.5228491111111,-85.9836538888889,"WGS84",2899.125,NA
"6308","MSC","MSC0218409","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E M Fischer","900",1890,7,26,1890,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Indiana",39.521994,-85.985262,"WGS84",3036,NA
"6309","BPI","BPI 785106","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E M Fischer","898",1890,8,NA,1890,"Vitis aestivalis","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Indiana",39.521994,-85.985262,NA,3036,NA
"6310","CUP","CUP-S-1541","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E M Fischer","898",1890,8,NA,1890,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Indiana",39.5245906666667,-85.980425,"WGS84",3036,NA
"6311","MSC","MSC0218392","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E M Fischer","901",1890,9,NA,1890,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Indiana",39.480606,-86.054986,"WGS84",5972,NA
"6312","BPI","CUP-S-1544","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E M Fischer","901",1890,9,NA,1890,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Indiana",39.491880875,-86.046089125,"WGS84",5340.71428571429,NA
"6313","CUP","CUP-013607","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E M Fischer",NA,1990,7,26,1990,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Indiana",39.521994,-85.985262,"WGS84",3036,NA
"6314","MIN","471570","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E M Freeman","s.n.",1908,8,4,1900,"Vitis labrusca","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Minnesota",47.876013,-92.344697,"WGS84",13699,NA
"6315","MIN","431041","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E M Freeman","s.n.",1908,8,NA,1900,"Vitis labrusca","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Minnesota",44.976424,-93.18951,"WGS84",1934,NA
"6316","NEB","NEB00064849","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E M Wilcox",NA,1909,7,29,1900,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Nebraska",40.772223,-96.652238,NA,3036,NA
"6317","NY","2759607","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E O Wooton","s.n.",1893,8,NA,1890,"Vitis vinifera","Vitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","New Mexico",32.31986,-106.764261,"WGS84",16347,NA
"6318","ISC","ISC-F-0082126","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E W D Howay","s.n.",1880,7,11,1880,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Iowa",43.303306,-91.785709,NA,3732,NA
"6319","BPI","BPI 785389","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E W Mendenhall",NA,1927,8,4,1920,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Ohio",39.758948,-84.191607,NA,13273,NA
"6320","BPI","BPI 785388","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E W Mendenhall",NA,1928,7,18,1920,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Ohio",39.961176,-82.998794,NA,23462,NA
"6321","BPI","BPI 785308","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E W Mendenhall",NA,1928,8,7,1920,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Ohio",39.961176,-82.998794,NA,23462,NA
"6322","BPI","BPI 785309","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E W Mendenhall",NA,1929,6,27,1920,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Ohio",39.961176,-82.998794,NA,23462,NA
"6323","BPI","BPI 785462","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E W Olive","s.n.",1894,6,30,1890,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Indiana",40.044674,-86.8862045,"WGS84",4606,NA
"6324","BPI","BPI 785159","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E W Olive",NA,1915,9,9,1910,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","New Jersey",39.953729,-74.197919,NA,10665,NA
"6325","NY","2759735","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E W Olive","3128",1919,NA,NA,1910,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","New York",42.442655,-76.501757,"WGS84",3509,NA
"6326","FLAS","FLAS-F-60712","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E West","9149",1933,5,6,1930,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Florida",29.755512,-82.862624,"WGS84",2073,NA
"6327","FLAS","FLAS-F-00801","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E West","9202",1933,5,20,1930,"Vitis rotundifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Florida",29.651634,-82.324826,"WGS84",12495,NA
"6328","FLAS","FLAS-F-22168","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","E West","s.n.",1939,8,12,1930,"Vitis rufotomentosa","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Florida",29.688028,-82.333752,"WGS84",11329,NA
"6329","ISC","ISC-F-0094040","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","Ellis","s.n.",NA,NA,NA,NA,"Vitis vinifera","Vitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Louisiana",30.572491,-91.96207,NA,334789,NA
"6330","ILL","ILL00095970","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","F A Gulley","21959",1889,12,NA,1880,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Texas",30.627977,-96.334407,"WGS84",11502,NA
"6331","NEB","NEB00064833","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","F A Wolf","79",1912,7,13,1910,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Alabama",34.174821,-86.843612,"WGS84",9872,NA
"6332","CUP","F.Columbiani-2345","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","F Bartholomew",NA,1906,6,6,1900,"Vitis vulpina","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Kansas",39.438066,-99.265097,"WGS84",2010,NA
"6333","ISC","ISC-F-0082135","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","F C Stewart","s.n.",1893,7,31,1890,"Vitis labrusca","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Iowa",42.027518,-93.631866,NA,7124,NA
"6334","CUP","CUP-S-1524","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","F C Stewart","s.n.",1895,7,13,1890,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","New York",40.728493,-73.717983,"WGS84",17764,NA
"6335","CUP","CUP-S-1535","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","F C Stewart","s.n.",1895,8,14,1890,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","New York",40.633993,-74.014584,NA,3036,NA
"6336","CUP","CUP-S-1536","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","F C Stewart","s.n.",1900,7,6,1900,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","New York",42.868955,-76.977744,"WGS84",3603,NA
"6337","CUP","CUP-S-1537","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","F C Stewart","s.n.",1910,8,26,1910,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","New York",43.029789,-76.004364,"WGS84",2401,NA
"6338","BPI","BPI 785336","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","F D Kelsey","94/99",1893,7,NA,1890,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Massachusetts",42.375097,-71.105608,NA,4918,NA
"6339","NY","2759714","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","F H Blodgett","s.n.",1899,8,NA,1890,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","New York",41.093639,-73.970513,"WGS84",2130,NA
