"","institution_code","catalog_number","basis_of_record","cur_genus","cur_epithet","cur_scientific_name","recorded_by","record_number","year","month","day","decade","cur_host","host_family","cultivated","native_status","cultivated_native","continent","country","state_province","decimal_latitude","decimal_longitude","geodetic_datum","coordinate_uncertainty_in_meters","climatic_zone"
"7378","FLAS","FLAS-F-44520","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","A S Muller",NA,1954,8,20,1950,"Momordica charantia","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Florida",24.555702,-81.782591,"WGS84",4169,NA
"7379","FLAS","FLAS-F-00928","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","Auberry",NA,1919,6,13,1910,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Florida",29.651634,-82.324826,"WGS84",12495,NA
"7380","BPI","BPI 785665","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","B B Higgins",NA,1923,5,7,1920,"Cucumis sp","Cucurbitaceae",NA,NA,NA,"North America","United States of America","Georgia",30.832702,-83.278485,NA,11224,NA
"7381","NEB","S.E,Econ.F.0041","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","B D Halsted","s.n.",1889,3,20,1880,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","New Jersey",40.4862170714286,-74.4512576428571,"WGS84",3907.15384615385,NA
"7382","NCU","NCU-F-0018826","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","B D Halsted","s.n.",1889,3,NA,1880,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","New Jersey",40.486216,-74.451819,"WGS84",2003,NA
"7383","NEB","NEB00061921","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","B D Halsted","s.n.",1889,4,NA,1880,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","New Jersey",40.4861276,-74.4501786,"WGS84",4830,NA
"7384","PUL","NEB00061924","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","B D Halsted","2426b",1889,7,NA,1880,"Cucurbita sp","Cucurbitaceae",NA,NA,NA,"North America","United States of America","New Jersey",40.4861461818182,-74.4502462727273,"WGS84",4856.3,NA
"7385","PH","PH00314345","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","B D Halsted","s.n.",1889,NA,NA,1880,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","New Jersey",40.486216,-74.451819,"WGS84",4983,NA
"7386","PH","PH00314346","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","B D Halsted","s.n.",1889,NA,NA,1880,"Cucurbita sp","Cucurbitaceae",NA,NA,NA,"North America","United States of America","New Jersey",40.486216,-74.451819,"WGS84",4983,NA
"7387","NEB","NEB00061920","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","B D Halsted",NA,1890,5,NA,1890,"Cucurbita sp","Cucurbitaceae",NA,NA,NA,"North America","United States of America","New Jersey",40.486216,-74.451819,"WGS84",5015,NA
"7388","CUP","CUP-A-002217","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","B Duggar",NA,1897,4,14,1890,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","New York",42.446605,-76.471479,NA,1104,NA
"7389","NCU","NCU-F-0018824","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","Bailey","s.n.",1889,11,30,1880,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Massachusetts",42.350097,-71.156442,"WGS84",3036,NA
"7390","BPI","WIS-F-0031883","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","C A Schwarze","s.n.",1916,9,5,1910,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","New Jersey",41.0055693333333,-74.1705186666667,NA,3540,NA
"7391","WIS","WIS-F-0033571","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","C B Bliss","s.n.",1910,9,9,1910,"Cucumis melo","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Massachusetts",42.0631555,-72.41178625,"WGS84",3581.25,NA
