Genus	Specific Epithet	Name	Host family	Hosts	Type Host Species Name	Mycorrhizae	Tree	Deciduous_Evergreen	Photosynthesis		
Peronospora	agrestis	Peronospora agrestis	Plantaginaceae	"Veronica polita, V. agrestis"	Veronica polita		No	NA	C3		
Peronospora	agrimoniae	Peronospora agrimoniae	Rosaceae	"Agrimonia striata Michx, Agrimonia eupatoria L."	Agrimonia striata		No	NA	C3		
Peronospora	agrorum	Peronospora agrorum	Primulaceae	"P. androsaces, Androsace septentrionalis"	Androsace septentrionalis		No	NA	C3		
Peronospora	agrostemmatis	Peronospora agrostemmatis	Caryophyllaceae	Agrostemma githago	Agrostemma githago		No	NA	C3		
Peronospora	akatsukae	Peronospora akatsukae	Plantaginaceae	Plantago asiatica	Plantago asiatica		No	NA	C3		
Peronospora	alchemillae	Peronospora alchemillae	Rosaceae	Reported from eight species of Alchemilla across Asia and Europe (Farr & Rossman 2020)	Alchemilla xanthochlora		No	NA	C3		
Peronospora	alkannae	Peronospora alkannae	Boraginaceae	Alkanna lutea	Alkanna lutea		No	NA	C3		
Peronospora	alpicola	Peronospora alpicola	Ranunculaceae	"Ranunculus aconitifolius, R. pyrenaeus, R. seguieri"	Ranunculus aconitifolius		No	NA	C3		
Peronospora	alsinearum	Peronospora alsinearum	Caryophyllaceae	"Stellaria media, Spergula morisonii"	Stellaria media		No	NA	C3		
Peronospora	alta	Peronospora alta	Plantaginaceae	Plantago major	Plantago major		No	NA	C3		
Peronospora	amaranthi	Peronospora amaranthi	Amaranthaceae	"A. blitum, A. lividus, and A. retroflexus from Asia and Europe and on an unknown species of Amaranthus from North America "	Amaranthus blitum		No	NA	C4		
Peronospora	americana	Peronospora americana	Polygonaceae	Fallopia scadens [Polygonum scandens (as Polygonum ramosissimum)]	Fallopia scadens		No	NA	C3		
Peronospora	amethysteae	Peronospora amethysteae	Lamiaceae	Amethystea caerulea	Amethystea caerulea		No	NA	C3		
Peronospora	anagallidis	Peronospora anagallidis	Primulaceae	Anagallis arvensis	Anagallis arvensis		No	NA	C3		
Peronospora	anchusae	Peronospora anchusae	Boraginaceae	Brunnera macrophylla (Anchusa myosotidiflora)	Brunnera macrophylla		No	NA	C3		
