"genus"	"specific_epithet"	"name"	"type_host_species_name"	"host_family"	"mycorrhizae"	"photosynthesis"
"212"	"Peronospora"	"cerastii-anomali"	"Peronospora cerastii-anomali"	"Cerastium dubium"	"Caryophyllaceae"	"nonmycorrhizal"	"C3"
"213"	"Peronospora"	"cerastii-brachypetali"	"Peronospora cerastii-brachypetali"	"Cerastium brachypetalum"	"Caryophyllaceae"	"nonmycorrhizal"	"C3"
"214"	"Peronospora"	"cerastii-glandulosi"	"Peronospora cerastii-glandulosi"	"Cerastium glomeratum"	"Caryophyllaceae"	"nonmycorrhizal"	"C3"
"215"	"Peronospora"	"cerinthes"	"Peronospora cerinthes"	"Cerinthe minor"	"Boraginaceae"	"mycorrhizal"	"C3"
"216"	"Peronospora"	"chamaesphaci"	"Peronospora chamaesphaci"	"Chamaesphacos ilicifolius"	"Lamiaceae"	"mycorrhizal"	"C3"
"217"	"Peronospora"	"chamaesycis"	"Peronospora chamaesycis"	"Euphorbia serpens"	"Euphorbiaceae"	"mycorrhizal"	"C4"
"218"	"Peronospora"	"chelidonii"	"Peronospora chelidonii"	"Chelidonium majus"	"Papaveraceae"	"nonmycorrhizal"	"C3"
"219"	"Peronospora"	"chenopodii"	"Peronospora chenopodii"	"Chenopodium hybridium"	"Amaranthaceae"	"nonmycorrhizal"	"C3"
"220"	"Peronospora"	"chenopodii-ficifolii"	"Peronospora chenopodii-ficifolii"	"Chenopodium ficifolium"	"Amaranthaceae"	"nonmycorrhizal"	"C3"
"221"	"Peronospora"	"chenopodii-glauci"	"Peronospora chenopodii-glauci"	"Chenopodium glaucum"	"Amaranthaceae"	"nonmycorrhizal"	"C3"
"222"	"Peronospora"	"chenopodii-opulifolii"	"Peronospora chenopodii-opulifolii"	"Chenopodium opulifolium"	"Amaranthaceae"	"nonmycorrhizal"	"C3"
"223"	"Peronospora"	"chenopodii-polyspermi"	"Peronospora chenopodii-polyspermi"	"Chenopodium polyspermum"	"Amaranthaceae"	"nonmycorrhizal"	"C3"
"224"	"Peronospora"	"chenopodii-rubri"	"Peronospora chenopodii-rubri"	"Chenopodium rubrum"	"Amaranthaceae"	"nonmycorrhizal"	"C3"
